Country,Region,Income_Level,Population_Millions,Import_Dependency_Percentage,Export_Revenue_Billion_USD,Year,GDP_Growth_Rate,Inflation_Rate,Food_Inflation_Rate,Fuel_Price_Index,Currency_Exchange_Rate_vs_USD,Forex_Reserves_Billion_USD,External_Debt_to_GDP,Interest_Rate,Government_Spending_Pct_GDP,Money_Supply_Growth,Unemployment_Rate,Poverty_Rate,War_Conflict_Flag,Political_Instability_Score,Supply_Chain_Disruption_Score,Oil_Dependency_Score,Tourism_Revenue_Loss_Pct,Global_Trade_Disruption_Index,Grocery_Price_Index,Transportation_Cost_Index,Travel_Cost_Index,Housing_Cost_Index,Consumer_Purchasing_Power,Currency_Devaluation_Percentage,Sovereign_Default_Risk_Score,Economic_Collapse_Probability,Inflation_Crisis_Level,Recovery_Potential_Score,Is_Future_Prediction,Policy_Intervention_Flag,Composite_Risk_Score,High_Risk_Flag,Debt_to_Forex_Ratio,Economic_Status
Japan,Asia-Pacific,High,124,18,750,2003,-0.75,0.9,1.28,57.3,111.507,1332.4,220.2,0.19,56.6,2,1.8,17.4,0,3,3,4,1.5,1.3,87,84.5,98.5,102,97.3,0.46,29.4,1,Low,43.6,0,1,27.75,0,0.17,Contracting
Japan,Asia-Pacific,High,124,18,750,2004,0.04,1.06,1.22,66,111.788,1282.45,223.2,0.25,56.9,2,3.3,17.8,0,1,2,4,6.3,2.9,86.8,81.8,85,102.2,97.6,0.25,26.1,1.04,Low,55.2,0,0,21.1,0,0.17,Moderate
Japan,Asia-Pacific,High,124,18,750,2005,1.25,1.44,2.01,69,112.102,1322.78,224.6,0.25,57,5.2,2.1,18,0,3,4,4,5.8,2.5,87.4,101.2,84.5,101.4,99.7,0.28,33,1.09,Low,41.7,0,0,28.97,0,0.17,Moderate
Japan,Asia-Pacific,High,124,18,750,2006,2.43,1.36,1.32,73.2,112.576,1370.83,224.5,0.23,55.6,2,1.6,11.8,0,3,2,4,2.5,3,83.3,86.8,87.4,103.1,101.8,0.42,32.4,1,Low,57.1,0,0,28.78,0,0.16,Moderate
Japan,Asia-Pacific,High,124,18,750,2007,-2.02,0.88,0.88,84,113.113,1323.75,226.3,0.18,56.1,3.5,4.2,19.4,0,3,2,4,0,2.9,87.6,104.8,94.4,97.4,94.3,0.48,32.8,1,Low,43.8,0,0,28.9,0,0.17,Contracting
Japan,Asia-Pacific,High,124,18,750,2008,-0.23,2.13,2.39,124,113.51,1323.75,228.5,0.29,57,2.9,3.1,16.9,0,5,4,4,2,7.3,87.9,130,111.5,95.5,96.4,0.35,34.5,99,Low,95,0,0,60.12,1,0.17,In Crisis
Japan,Asia-Pacific,High,124,18,750,2009,-2.63,1,0.8,37,113.889,1323.75,230.1,0.21,53.9,4.4,1.1,14.4,0,3,3,4,6.4,5.6,79.7,76.6,81.2,97.2,94.7,0.33,26.6,99,Low,95,0,0,52.06,1,0.17,In Crisis
Japan,Asia-Pacific,High,124,18,750,2010,1.69,0.9,1.03,69.3,114.409,1323.75,229.4,0.18,55.2,2,2.3,18,0,5,3,4,0,3.4,89.4,92.9,87.2,92.6,100.7,0.46,32.2,99,Low,95,0,0,59.4,1,0.17,In Crisis
Japan,Asia-Pacific,High,124,18,750,2011,1.16,1.88,2.49,131.3,114.891,1323.75,231.1,0.3,59.3,7.5,2.2,14.5,0,1,4,4,0,5.2,94.1,126.4,110.2,95.4,99.1,0.42,26.2,99,Low,95,0,0,46.14,1,0.17,In Crisis
Japan,Asia-Pacific,High,124,18,750,2012,3.52,1.12,1.1,93.7,115.222,1323.75,230.4,0.2,57.5,5.6,1,16.3,0,3,3,4,9.2,3.2,83.4,111.4,97.5,87.4,103.9,0.29,35.9,99,Low,95,0,0,54.41,1,0.17,In Crisis
Japan,Asia-Pacific,High,124,18,750,2013,-0.48,0.96,1.11,91,115.721,1323.75,232.1,0.19,58.8,2,1,16.1,0,2,4,4,3.3,2.8,82.1,104.8,101.1,92.5,98,0.43,28.7,99,Low,95,0,0,49.67,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2014,1.24,1.66,2.49,32.2,116.355,1323.75,234.9,0.27,63,2,4.6,14.2,0,2,4,4,0,3.2,88.9,69.8,81,95.9,98.2,0.55,30.2,99,Low,95,0,1,50.29,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2015,3.3,1.57,1.84,16.4,116.818,1323.75,235.8,0.27,61.4,2.9,1.6,17.6,0,4,3,4,0,3.5,80,61.1,61.9,94.8,102.9,0.4,34.8,99,Low,95,0,0,57.48,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2016,0.68,0.88,0.61,39.5,117.263,1323.75,237.5,0.19,59.5,2,6.2,13.9,0,3,4,4,0,3.2,84.9,81.1,76.7,88.8,97.4,0.38,29.8,99,Low,95,0,0,53.21,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2017,3.02,1.23,1.47,49.7,117.767,1323.75,236.3,0.22,57.4,2,1,18.6,0,2,4,4,0,3.1,90.8,76.2,80,92.9,103,0.43,22.6,99,Low,95,0,0,48.4,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2018,1.06,1.12,1.17,62.9,118.195,1323.75,238.4,0.23,52.9,2,6,17.4,0,2,1,4,8,2.6,95.8,100,93.1,92.6,97.7,0.36,24.5,99,Low,95,0,0,48.96,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2019,3.06,0.88,1.41,58.6,118.652,1323.75,239.8,0.21,62.1,2,1,18.6,0,3,1,4,0,2.7,81.5,87.7,80.7,92,103.4,0.39,33.2,99,Low,95,0,0,54.17,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2020,-1.2,3.13,4.91,22.7,119.253,1323.75,241.3,0.43,59.7,2,5.4,21.2,0,2,6,4,11.9,9.5,83.4,58.5,76.7,100.4,93,0.51,30.4,99,Low,95,0,0,50.88,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2021,6.52,3.57,4.48,78.8,119.667,1323.75,243.2,0.45,60,5,4.6,16,0,3,3,4,12.5,6.4,93.6,90.8,95.4,97.6,104.6,0.35,29.3,99,Low,95,0,0,53.77,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2022,-0.19,4.59,6.03,205.3,120.288,1323.75,244.6,0.58,54.5,8.8,4.4,20.1,0,2,2,4,4.1,5.1,93.8,176.5,151,95.2,93.8,0.52,29.3,99,Low,95,0,0,50.99,1,0.18,In Crisis
Japan,Asia-Pacific,High,124,18,750,2023,-0.74,2.86,3.38,91.7,120.743,1323.75,245.9,0.39,62.6,7.7,3.2,14.6,0,2,6,4,0,7.7,88.9,98,103.5,102.4,95,0.38,26,99,Low,95,0,0,49.97,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2024,0.29,0.88,0.97,68.1,121.02,1323.75,245.6,0.16,56.8,2,3.5,17.8,0,1,4,4,0,1.7,90.2,89.8,93,104.3,98,0.23,27.5,99,Low,95,0,1,47.04,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2025,-1.24,1.05,1.16,71.5,121.29,1323.75,247,0.2,58,2,4.9,18.1,0,4,1,4,0,2.7,90.8,86.5,84.5,85.4,94.8,0.22,35.2,99,Low,95,0,0,58.06,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2026,0.15,0.88,0.52,99.5,127.787,1323.75,248,0.14,63.4,2,1.8,13.3,0,1,5,4,7.5,2.5,89.6,107.9,94.1,99.1,98.9,5.36,26.1,99,Low,95,1,1,46.81,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2027,0.66,1.94,2.16,95.5,134.628,1323.75,249.6,0.24,63.9,2,2.7,16.4,0,3,4,4,0.7,5.6,90.9,113.8,96.7,100,98.1,5.35,26.6,99,Low,95,1,1,53.17,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2028,-0.47,1.25,1.63,87,142.032,1323.75,251.5,0.21,56.7,2,5.2,21.8,0,4,2,4,0.5,1.2,88.1,96.5,93.9,87.6,95.7,5.5,31.9,99,Low,95,1,0,57.49,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2029,1.02,1.32,1.64,100.1,149.902,1323.75,253.9,0.23,59,3.8,4.9,18.8,0,3,3,4,3,3.2,84.3,112.4,107.7,99.4,98,5.54,31.7,99,Low,95,1,0,54.57,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2030,0.07,3.05,2.34,101.4,158.096,1323.75,255.7,0.41,56.2,4.7,7.6,15.9,0,4,1,4,0,1.7,92.5,119.5,109.5,103.1,93.9,5.47,29.5,99,Low,95,1,0,57.37,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2031,2.45,1.05,1.26,95.4,166.434,1323.75,257,0.2,59.9,3.4,8,17.6,0,5,2,4,0,2.4,88,110.1,101.8,100.2,98.8,5.27,34.4,99,Low,95,1,0,61.36,1,0.19,In Crisis
Japan,Asia-Pacific,High,124,18,750,2032,2.63,0.88,0.71,100.6,175.647,1323.75,258.3,0.17,55.1,2,1.1,13.3,0,3,2,4,0,3.5,88.4,113.8,101,95,102.9,5.54,34.5,99,Low,95,1,0,55.42,1,0.2,In Crisis
Japan,Asia-Pacific,High,124,18,750,2033,-1.43,2.31,3.48,97,185.152,1323.75,259.7,0.33,56.1,3.5,1.1,16.1,0,5,1,4,6.3,4.3,87.9,107.4,99.5,104.2,95.5,5.41,35.8,99,Low,95,1,0,62.03,1,0.2,In Crisis
Japan,Asia-Pacific,High,124,18,750,2034,1.33,0.94,1.2,106,195.132,1323.75,260,0.19,58.4,4.3,5.9,14.6,0,3,5,4,2.9,2.1,78.5,113.1,91.6,95.1,98.3,5.39,33,99,Low,95,1,0,55.14,1,0.2,In Crisis
Japan,Asia-Pacific,High,124,18,750,2035,0.37,1.39,1.62,114.5,205.575,1323.75,261.5,0.21,63.5,4.6,3.3,14.1,0,4,4,4,0,2.8,89.5,129,105.2,106.6,97.8,5.35,34.9,99,Low,95,1,0,58.76,1,0.2,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2000,3.74,1.98,1.97,71.2,75,65.64,16,9.48,23.7,3.7,1.3,14.7,0,2,2,9,0.9,3.4,96.1,104.6,95.2,114.8,103.4,0,3.1,1,Low,51.7,0,1,8.12,0,0.24,Moderate
Russia,Europe,Upper-Middle,144,20,500,2001,3.85,4.6,4.97,59.1,76.854,65.64,18.2,7.1,28.3,5.7,3.4,11.7,0,4,2,9,4.3,2.9,105.8,86.8,94.2,110,100.4,2.47,8.6,99,Low,95,0,0,40.5,1,0.28,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2002,5.51,3.91,5.27,56.5,78.825,65.64,17.6,8.05,28.5,2.2,6.8,11.9,0,1,3,9,0,1.8,107.5,84,86.5,97.8,101.7,2.56,2.9,99,Low,95,0,0,29.94,1,0.27,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2003,1.99,10.08,9.26,60.9,81.181,65.64,17.5,5.42,27.1,13.8,4.8,12.2,0,4,4,9,0,4.5,113.7,94.8,108.2,118.5,92.5,2.99,9.9,99,Medium,95,0,0,41.61,1,0.27,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2004,2.79,6.2,8.5,78.3,81.862,65.64,16.3,7.37,25.7,8,4.3,12.3,0,1,2,9,4.5,1.9,105.6,104.1,95.9,116.2,97.1,0.84,2.6,99,Medium,95,0,1,30.14,1,0.25,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2005,2.78,12.04,12.37,96.2,85.303,65.64,16.8,8.59,26.4,16,3.9,8.2,0,5,2,9,0,2.8,119.9,101.2,122.4,124.7,92.6,4.2,13.7,99,Medium,95,0,0,45.82,1,0.26,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2006,4.19,8.42,10.43,99.1,87.942,65.64,18.8,8.26,28.1,10.7,6.6,11.3,0,3,2,9,1.9,1,111.4,108.5,120.9,112.6,96.2,3.09,8,99,Medium,95,0,0,37.95,1,0.29,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2007,3.44,10.12,10.07,104.7,90.579,65.64,19.6,7.34,26.6,11.5,6,9.4,0,4,1,9,0,2.9,107.7,114.7,121.6,121.7,94.1,3,10.6,99,Medium,95,0,0,41.9,1,0.3,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2008,2.31,5.37,6.18,154.7,93.487,65.64,21,6.02,24.1,8.2,7.1,13,0,1,2,9,1.4,5.1,104.5,138.4,129,109.6,95.6,3.21,4.7,99,Medium,95,0,0,30.78,1,0.32,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2009,0.15,7.55,7.93,43.5,96.106,65.64,22,9.99,24.8,5.6,4.8,8.4,0,4,2,9,0,6.2,114.4,77.4,92.6,107.4,91.8,2.8,14.1,99,Medium,95,0,0,42.51,1,0.34,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2010,3.48,6.75,6.54,84.3,99.572,65.64,23.2,9.75,27.7,7.2,4.7,10.1,0,4,2,9,4.7,3.3,104.6,99.8,98.1,102.5,97.5,3.61,11.9,99,Medium,95,0,0,41.9,1,0.35,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2011,-0.46,0.88,0.5,145,102.212,65.64,26.3,8.77,32.3,2,5,13.3,0,3,2,9,0,4.1,90.7,133.5,117.8,80.4,96.7,2.65,9.3,99,Low,95,0,0,37.52,1,0.4,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2012,2.77,4.99,5.4,118.5,105.037,65.64,27.3,11.46,25.1,7.1,5.9,12,0,1,4,9,5.6,3.4,93.4,123.9,120.3,88.4,97.2,2.76,4.9,99,Low,95,0,0,31.09,1,0.42,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2013,2.67,7,6.87,112.6,108.195,65.64,27.2,5.67,30.4,11.5,3.6,7.9,0,2,3,9,5.8,1.7,102.7,114.5,113,106.4,96.6,3.01,6.7,99,Medium,95,0,0,34.83,1,0.41,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2014,2.72,10.3,11.23,36.4,110.898,65.64,29,9.56,28.9,18.5,4.5,9.3,0,2,2,9,3.9,3.6,119.3,70.6,90.3,123,90.5,2.5,5.9,99,Medium,95,0,0,35.22,1,0.44,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2015,0.79,7.54,9,21.7,114.094,65.64,30.2,7.77,26.5,5.5,4.1,8.5,0,5,3,9,3.1,2.3,107.5,74.5,75,102.5,93.1,2.88,19.3,99,Medium,95,0,0,47.22,1,0.46,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2016,2.29,6.3,7.88,45.8,118.289,65.64,30.4,7.46,23.5,9.5,3.7,9.4,0,2,5,9,11.6,4.9,108.6,84.2,90.8,99.3,96.5,3.68,7.9,99,Medium,95,0,0,35.19,1,0.46,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2017,2.83,9.03,9.54,60.5,122.143,65.64,32.5,6.86,28.9,8.7,3.6,11.2,0,3,1,9,0,1.6,117.3,88.5,97.7,108.4,95.2,3.26,9.9,99,Medium,95,0,0,39.2,1,0.5,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2018,2.59,7.26,9.17,75.9,124.483,65.64,31.5,7.94,24.4,9.5,8,14.7,0,1,1,9,3.5,1.3,103.7,96.5,109.4,117.6,94.1,1.92,6.9,99,Medium,95,0,0,32.14,1,0.48,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2019,3.48,7.89,7.78,60.6,128.568,65.64,33.3,8.38,24.5,6.4,3,11,0,1,1,9,0,1.8,112.2,92.6,101,124.3,97.4,3.28,4.9,99,Medium,95,0,0,31.82,1,0.51,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2020,-1.21,9.51,9.14,25.7,131.834,65.64,33.8,8.74,25.2,10.5,3.1,15.9,0,3,2,9,6,8.3,119.5,73.9,77.3,110.6,89,2.54,12.3,99,Medium,95,0,0,39.94,1,0.51,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2021,3.84,11.6,12.11,96.6,136.281,65.64,35.8,8.72,29.5,18.4,3.1,12.6,0,1,4,9,8.7,5.2,116.2,118.9,127.6,126.3,94.9,3.37,11.4,99,Medium,95,0,0,34.13,1,0.55,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2022,-0.22,17,23.62,232.7,207.721,65.64,44.8,10.13,27.6,21.8,6.5,17.4,1,7,8,9,29.3,7.8,145.9,192.2,184,132.9,82.8,52.42,21.4,99,High,95,0,0,55.89,1,0.68,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2023,3.24,10.34,11.02,104.5,274.248,65.64,53.9,8.74,28.6,13.1,8,13.1,1,7,7,9,20.5,5.2,117.2,119.1,129.4,107.4,92.6,32.03,20.8,99,Medium,95,0,0,55.2,1,0.82,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2024,6.98,8,11.07,84,335.516,65.64,63.3,8.71,31.8,8.3,10.7,30.3,1,7,7,9,0,3.1,116.8,105.4,108.5,104.8,98.7,22.34,17.4,99,Medium,95,0,0,54.46,1,0.96,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2025,4.33,10.36,13.83,88.6,377.522,65.64,73.1,7.25,32.8,10.4,2.8,14.7,1,6,6,9,0.4,3.9,113.3,108,113.6,117.8,96.8,12.52,24.8,99,Medium,95,0,0,54.16,1,1.11,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2026,3.39,5.42,5.29,103.3,386.814,65.64,72.1,3.96,23.7,2,3.7,30.3,0,3,1,9,5.1,2.1,102.9,108.8,105.9,103.9,98.9,2.46,10.9,99,Medium,95,1,0,40.89,1,1.1,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2027,1.84,6.77,8.43,98.8,394.479,65.64,71.9,6.9,22.8,7.6,3.2,11.1,0,2,1,9,5.9,2.1,105.7,116.6,105.6,104.4,95.7,1.98,13.7,99,Medium,95,1,0,38.79,1,1.1,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2028,2.72,7.24,7.19,93,410.412,65.64,72.9,8.11,36,4.9,2.7,30.3,0,3,5,9,0,5.6,112.3,100.7,110.8,116.5,98.9,4.04,16.2,99,Medium,95,1,0,42.53,1,1.11,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2029,1.15,9.26,11.08,95.6,423.529,65.64,75.4,8.86,25.2,10.2,6.6,11.6,0,3,3,9,2,2.8,113.1,109.4,120.7,127.8,91,3.2,10.4,99,Medium,95,1,0,41.51,1,1.15,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2030,-1.8,10.88,7.09,104.9,436.933,65.64,76.7,10.5,23.9,8.6,1,13.9,0,4,2,9,3.7,3.9,118.1,112.3,117.6,127.3,88.1,3.16,13.7,99,Medium,95,1,0,45.64,1,1.17,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2031,0.72,10.54,11.29,98.4,450.744,65.64,77.7,9.75,26.5,11.3,1.3,12.3,0,3,2,9,0,3.5,121.6,113.7,114.6,119.2,92,3.16,11.3,99,Medium,95,1,0,42.04,1,1.18,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2032,3.38,8.6,11.01,100.4,462.971,65.64,78.9,9.77,30.4,11,3.2,14.9,0,1,3,9,0.6,2.8,111.4,114.2,116,123.5,96.6,2.71,12.2,99,Medium,95,1,0,36.04,1,1.2,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2033,1.5,6.92,6.92,97.1,473.083,65.64,80.5,10.55,27.3,9.5,3.5,6.3,0,4,4,9,1.6,4.5,115.3,105.4,120.1,102.1,95,2.18,17.8,99,Medium,95,1,1,46.26,1,1.23,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2034,1.52,8.7,9.3,111.1,490.378,65.64,83.1,9.27,24.9,8.8,8.1,30.3,0,4,2,9,0,2.8,112,112.1,120.5,118.2,91.3,3.66,19.2,99,Medium,95,1,0,47.01,1,1.27,In Crisis
Russia,Europe,Upper-Middle,144,20,500,2035,2.09,10.41,11.39,101.9,502.561,65.64,83.4,9.87,35,14,5.2,9.7,0,5,4,9,0,3.3,115.2,113.8,112,117.5,92.2,2.48,17.3,99,Medium,95,1,0,49.81,1,1.27,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2000,3.13,7.03,8.78,57.8,27,26.26,88.2,10.87,40.1,7.9,7,24.7,0,5,1,6,0,3.2,105,88.3,92.4,111.2,95.6,0,21.6,52.94,Medium,48.5,0,0,39.1,0,3.36,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2001,1.12,10.07,11.41,51.1,27.673,25.78,91.5,18.41,37.6,11.8,10.2,24.7,0,4,2,6,7.5,2.9,118.8,78.4,96.2,129.7,88.5,2.49,17.8,58.59,Medium,32.3,0,0,37.18,0,3.55,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2002,4.57,9.33,9.8,55.8,28.717,26.02,92.7,14.39,34.9,12.7,7.9,24.7,0,4,3,6,0,4,117.3,85.5,104.3,119,95.4,3.77,18.7,54.06,Medium,48.8,0,0,36.22,0,3.56,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2003,1.12,7.86,11.05,60.8,29.738,26.4,94.4,19.31,34.6,8.4,6,27.3,0,2,2,6,0,1.8,105.9,88,95.1,116,92.4,3.56,15.2,52.27,Medium,52.3,0,0,28.77,0,3.57,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2004,4.37,12.2,12.23,64.4,30.666,30.11,93.6,13.3,38,13.1,6.5,26,0,1,2,6,0,1.4,118.1,86.5,114,132.8,93.5,3.12,16,49.83,Medium,59.9,0,0,25.97,0,3.11,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2005,1.51,12.11,19.14,80.8,32.075,29.83,93.8,15.41,35.6,13.8,10.2,29.1,0,2,4,6,0,4.4,116.4,96.6,109.5,123.5,87.5,4.59,11.9,55.92,Medium,45.1,0,0,29.46,0,3.14,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2006,3.2,13.16,19.3,86.9,33.251,30.05,95.3,12.15,33.1,22.1,5.2,29,0,1,3,6,0,1,124,97.1,119.9,133.1,91.7,3.67,10.1,53.02,Medium,61,0,0,25.52,0,3.17,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2007,2.91,9.62,11.38,85.5,34.165,31.92,95.1,17.25,38,3.1,7.9,27.1,0,1,1,6,0,2.7,119.3,97.4,102.3,131.5,92.7,2.75,8.8,49.46,Medium,56.4,0,0,23.76,0,2.98,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2008,2.36,9.45,12.69,132.5,34.961,28.115,93.6,14.2,41.6,13.3,6,28.5,0,2,5,6,2.1,3.9,111.2,134.6,130.1,114.9,93,2.33,21.7,51.93,Medium,43.9,0,0,30.5,0,3.33,Moderate
Ukraine,Europe,Lower-Middle,43,35,60,2009,-0.28,6.24,8,37.8,36.356,28.115,94.6,11.58,36.6,6.6,9.9,29.5,0,7,3,6,23.7,6.7,92.6,70.5,79.3,114.7,89.6,3.99,25.4,99,Medium,95,0,0,57.77,1,3.36,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2010,3.5,10.35,13.45,82.7,37.759,28.115,96.6,15.55,35.7,13,7.3,25.6,0,1,3,6,1.5,2.6,115.5,107.3,108.4,116.7,93.3,3.86,16.6,99,Medium,95,0,1,38.28,1,3.43,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2011,4.62,5.1,5.69,144.9,39.274,28.115,98.4,17.12,34.2,4.7,11.6,26.6,0,5,5,6,2.3,4.1,100.8,137.3,118.5,107.7,97.1,4.01,17.3,99,Medium,95,0,0,49.76,1,3.5,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2012,4.6,8.44,8.8,102.3,41.382,28.115,99.3,13.76,38.5,13,8.6,28.5,0,1,1,6,0,2.3,117.6,120.6,111.4,119,95.8,5.37,9.7,99,Medium,95,0,0,36.41,1,3.53,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2013,4.28,11.47,13.91,93.9,43.162,28.115,99.4,18.23,35.2,8.8,6,27,0,3,2,6,0,2.1,123.4,104.2,119,119.7,94.2,4.3,20,99,Medium,95,0,0,45.44,1,3.53,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2014,2.995,11.85,16.75,35,44.982,28.115,100.2,13.62,36.1,17.7,10,23.8,0,3,2,6,11.5,1.1,126.9,75.9,92.2,122.4,88.6,4.22,15.1,99,Medium,95,0,0,44.31,1,3.56,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2015,2.53,5.2,6.29,20.1,47.206,28.115,101.5,16.31,36.1,3.3,9.1,28.1,0,1,2,6,0,2,93.2,52.6,70.9,92.9,95.1,4.94,13.9,99,Medium,95,0,0,37.08,1,3.61,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2016,2.38,5.07,7.07,44.3,48.554,28.115,103.7,9.2,37.4,7.3,8.6,26.1,0,2,3,6,0,3.3,105.7,67.3,80.2,100.5,95.2,2.86,15.1,99,Medium,95,0,0,40.47,1,3.69,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2017,2.52,13.32,20.13,55.3,48.983,28.115,104,17.79,32.9,13.8,11.5,31.2,0,5,5,6,4,4.4,126,77.3,105.2,128.9,87.4,0.88,22.6,99,Medium,95,0,0,52.6,1,3.7,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2018,4.59,8.78,7.48,64.5,50.632,28.115,104.3,9.55,35.8,8.8,10.7,27.4,0,2,3,6,0,3.4,117.5,87.9,103.9,116.8,94.5,3.37,15.9,99,Medium,95,0,0,41.26,1,3.71,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2019,1.93,9.61,11.34,57.8,52.245,28.115,105.9,19.74,36.1,9.7,9.4,28,0,1,2,6,7.2,2,106,88.5,94.8,114.3,90.5,3.19,12.9,99,Medium,95,0,0,37.71,1,3.77,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2020,-1.88,15.44,17.8,22.9,53.804,28.115,106.8,13.22,39.8,17.9,7.4,27.8,0,3,3,6,7.1,6.6,130.3,72.1,104.5,128.8,81.1,2.98,17.1,99,High,95,0,0,45.68,1,3.8,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2021,5.98,7.95,11.12,89.1,55.668,28.115,107.5,15.29,31.9,11.5,8.9,30.9,0,1,3,6,12.4,5.8,111.8,112,110.9,117.9,98.2,3.46,15.8,99,Medium,95,0,0,38.27,1,3.82,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2022,-9.6727,26,28.7,208.4,85.94,28.115,116.2,18.41,33.2,29.1,24.2,37.6,1,10,10,6,20.7,7.1,163.4,179.4,193.2,161.7,25.4,54.38,34.5,99,High,95,0,0,73.09,1,4.13,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2023,7,12,15.72,99.9,113.497,28.115,125.3,16.16,34.7,13.5,10.6,32.9,1,9,9,6,25.8,8.6,113.8,114.7,118,122.4,95.6,32.07,32.2,99,Medium,95,0,0,67.86,1,4.46,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2024,6.61,9.1,8.94,74.5,139.769,28.115,133.8,15.2,34.4,7.8,15.7,30.7,1,9,9,6,21.7,5.6,113.5,91.3,109.4,112.1,94.8,23.15,25.3,99,Medium,95,0,1,66.13,1,4.76,In Crisis
Ukraine,Europe,Lower-Middle,43,35,60,2025,7.82,7.26,9.86,76.2,161.587,28.115,142.9,14.3,35.5,9.6,12.6,31.7,1,8,8,6,20.6,5,96,98.8,104.7,111.7,99.6,15.61,22.5,99,Medium,95,0,0,62.61,1,5.08,In Crisis
